,Q,A,label,
누가,누가 때렸는지 말해줄 수 있나요?,"네, 아니오, 잘모르겠어요",0,
,누가 당신을 때렸나요?,{tag_people}가 때렸어요,1,
,누가 때렸는지 말해주세요.,{tag_people}가 때렸어요,1,
,누가 때렸는지 기억이 나면 말해주세요.,{tag_people}가 때렸어요,1,
,때린 사람이 누구인지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람이 누구인지 아나요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람이 누구인지 말해줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,때린 사람을 알려주세요.,{tag_people}가 때렸어요,1,
,누구에게 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,누구에게 맞았나요?,{tag_people}가 때렸어요,1,
,…,…,,"# {tag_people}, 가해자 정보 습득 후 다음 단계로"
어디서,{tag_people}한테 어디서 맞았나요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 당신을 때린 장소가 어디에요?,{tag_place}였어요 ,1,
,{tag_people}이)가 때린 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,어디서 {tag_people}한테 맞았나요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 어디서 때렸는지 알아요?,"네, 아니오, 잘모르겠어요",0,
,어디서 맞았는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,어디서 맞았는지 알려주세요.,{tag_place}였어요 ,1,
,{tag_people}(이)가 어디서 아프게 했어요?,{tag_place}였어요 ,1,
,{tag_people}(이)가 아프게 한 장소가 어딘지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린 장소를 알려주세요,{tag_place}였어요 ,1,
,...,...,,"# {tag_place}, 장소"
언제,언제 맞은건지 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 언제 때린건지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린게 언젠지 알려주세요.,{tag_time}이었어요,1,
,{tag_people}(이)가 {tag_place}에서 때린 때가 언제에요?,{tag_time}이었어요,1,
,{tag_place}에서 {tag_people}(이)가 때렸다고 했잖아요. 그게 언제에요?,{tag_time}이었어요,1,
,{tag_people}한테 맞은 날짜나 시간을 알려줄 수 있어요?,"네, 아니오, 잘모르겠어요",0,
,맞은 날짜와 시간을 알려주세요.,{tag_time}이었어요,1,
,"{tag_people}(이)가 당신을 때린 날짜, 시간을 알려주세요.",{tag_time}이었어요,1,
,방금 {tag_people}(이)가 {tag_place}에서 때렸다고 했잖아요. 그게 언제인지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때린 날짜와 시간이 기억나면 저한테 말해주세요.,{tag_time}이었어요,1,
,정확히 언제 {tag_people}(이)가 때렸는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,...,...,,"# {tag_time}, 시간"
어떻게,{tag_people}(이)가 당신을 때린 물건이 무엇이었나요?,{tag_object}였어요,1,
,뭘로 당신을 때렸는지 기억이 나요?,"네, 아니오, 잘모르겠어요",0,
,도구를 사용해서 때린게 맞나요? 맞다면 도구를 알려주세요. ,{tag_object}였어요,1,
,{tag_people}(이)가 손으로 때렸나요? ,{tag_object}였어요,1,
,{tag_people}(이)가 {tag_time}에 {tag_place}에서 때렸을 때 뭘로 때렸는지 기억나나요?,"네, 아니오, 잘모르겠어요",0,
,그럼 맨손으로 때린건가요?,{tag_object}였어요,1,
,맨손이 아니라면 어떤 도구를 사용했는지 말해주세요.,{tag_object}였어요,1,
,{tag_people}(이)가 당신을 때릴 때 뭔가를 들고 때렸나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 들고 때린게 뭐였는지 말해주세요.,{tag_object}였어요,1,
,{tag_people}(이)가 당신을 때릴 때 사용한 도구가 뭐였죠?,{tag_object}였어요,1,
,{tag_people}(이)가 손을 사용해서 때렸나요?,{tag_object}였어요,1,
,{tag_people}(이)가 도구를 사용해서 때렸나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_people}(이)가 때릴 때 쓴 도구와 비슷한 물건을 알려주세요.,{tag_object}였어요,1,
,{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구가 있었나요?,"네, 아니오, 잘모르겠어요",0,
,{tag_place}에서 {tag_people}(이)가 당신을 때릴 때 사용한 도구를 알려주세요.,{tag_object}였어요,1,
,...,...,,"# {tag_object}, 도구"
무엇을,{tag_people}(이)가 어디를 때렸는지 알려주세요.,{tag_body}였어요,1,
,{tag_place}에서 맞으면서 어디 어디가 많이 아팠나요? ,{tag_body}였어요,1,
,{tag_place}에서 맞은 곳을 전부 알려주세요.,{tag_body}였어요,1,
,{tag_people}(이)가 때릴 때 어디를 때렸는지 기억나요?,"네, 아니오, 잘모르겠어요",0,
,몸에 멍이 들거나 상처가 난 부분이 있나요?,"네, 아니오, 잘모르겠어요",0,
,몸에 상처나 멍이 없다라도 {tag_people}(이)가 때려서 아픈 곳을 말해주세요.,{tag_body}였어요,1,
,{tag_people}(이)가 어디 어디를 {tag_object}(으)로 때렸나요?,{tag_body}였어요,1,
,{tag_time}때 맞은 부분을 모두 알려주세요.,{tag_body}였어요,1,
,{tag_time}에 {tag_place}에서 맞았다고 했잖아요? 그 날 어디어디를 맞았는지 말해주세요.,{tag_body}였어요,1,
,{tag_people}(이)가 때려서 상처가 났나요?,"네, 아니오, 잘모르겠어요",0,
,그럼 상처가 난 부분을 모두 알려주세요.,{tag_body}였어요,1,
,{tag_time}때 {tag_people}(이)가 때린 곳을 모두 알려주세요.,{tag_body}였어요,1,
,{tag_time}때 {tag_people}(이)가 {tag_object}(으)로 어디어디를 때렸어요?,{tag_body}였어요,1,
,,,,"# {tag_body}, 신체부위"
,,,,
,entity,,,
tag_people,"형제, 형, 할아버지, 할머니, 오빠, 자매, 언니,\
누나, 선생님, 아버지, 어머니, 여자, 남자, 가족,\
# 여기서부터 서울시장애인의사소통권리센터(이하 센터)에 없는 인물
도우미, 활동보조인, 선생님, 아저씨, 아줌마, 모르는 사람, 처음 보는 사람, 가게 주인,\
학교 친구, 장애인",,,
tag_place,"한옥마을, 한강공원, 카페, 청와대, 창덕궁, 종합운동장, 여의도공원, 여의도,\
어린이대공원, 술집, 숭례문, 서울역, 서울시청, 서울숲, 롯데월드, 빵집, 뚝섬, 동대문, 독립문,\
남산, 낙산공원, 김포공한, 국회의사당, 광화문, 고속터미널, 경복궁, 63빌딩, 지원주택, 집, \
# 권리센터에 없는 장소
학교, 학원, 공원, 병원, 식당, 지하철역",,,
tag_time,"아침, 오후, 오전, 밤,\
# 센터에 없는 시간
(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)시",,,
tag_object,"# 물건의 경우 센터 상징에 거의 없었다.
# 밀치기, 뜨거운 물을 붇기 와 같이 간접적으로 피해를 유발하는 행위를 제외
막대기, 나무, 지팡이, 철봉, 회초리, 주먹, 손바닥, 발, 팔, 돌맹이, 벽돌, 공, 식판, 숟가락, 책",,,
tag_body,"팔, 다리, 발, 허리, 어깨, 머리, 얼굴, 눈, 코, 입, 귀, 가랑이, 허벅지, 손, 손가락, 발가락, 엉덩이, \
배, 발바닥, 등, 가슴, 무릎, 팔꿈치",,,
